timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661172552834,551,001_Launch_Request,200,OK,Thread Group 1-1,text,true,,1404,449,1,1,https://blazedemo.com/,550,0,175
1661172552810,551,001_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1404,449,1,1,null,550,26,175
1661172553387,438,002_Find_Flights_Request,200,OK,Thread Group 1-1,text,true,,1548,635,1,1,https://blazedemo.com/reserve.php,438,0,0
1661172553387,438,002_Find_Flights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1548,635,1,1,null,438,1,0
1661172553826,297,003_Select_Flight_Request,200,OK,Thread Group 1-1,text,true,,1811,691,1,1,https://blazedemo.com/purchase.php,297,0,0
1661172553826,297,003_Select_Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1811,691,1,1,null,297,0,0
1661172554124,298,004_Purchase_Flight_Request,200,OK,Thread Group 1-1,text,true,,1422,817,1,1,https://blazedemo.com/confirmation.php,297,0,0
1661172554123,298,004_Purchase_Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1422,817,1,1,null,297,1,0
1661172554423,421,001_Launch_Request,200,OK,Thread Group 1-1,text,true,,1544,449,1,1,https://blazedemo.com/,420,0,0
1661172554423,421,001_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1544,449,1,1,null,420,1,0
1661172554845,306,002_Find_Flights_Request,200,OK,Thread Group 1-1,text,true,,1565,635,1,1,https://blazedemo.com/reserve.php,305,0,0
1661172554845,306,002_Find_Flights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1565,635,1,1,null,305,1,0
1661172555153,277,003_Select_Flight_Request,200,OK,Thread Group 1-1,text,true,,1668,691,2,2,https://blazedemo.com/purchase.php,277,0,0
1661172555152,277,003_Select_Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1668,691,2,2,null,277,2,0
